accepted_fill_count,baseline_atr,combination_id,crossings_per_hour,direction,force_close_at,grid_count,grid_lower,grid_upper,inventory_drag,inventory_drag_ratio,inventory_forced_exit_count,inventory_realized_pnl,loss_component,max_drawdown,max_drawdown_pct,max_inventory_utilization,max_unpaired_lot_age,max_unpaired_lots,mean_inventory_utilization,net_capacity_per_hour,net_pnl,pair_completion_count,paired_grid_pnl,peak_negative_unrealized_pnl,pre_exit_inventory_notional,pre_exit_unrealized_pnl,profit_factor_component,profit_protection_close_count,profit_protection_reduce_count,profit_protection_suppress_count,rejected_fill_count,scenario,seed,step_pct,stop_loss_count,stopped_at_index,stopped_at_price,stopped_reason,symbol,take_profit_count,window_force_close_count,window_key
35,1.257857142857168,11111,1.2,NEUTRAL,2026-05-18T06:00:00+00:00,6,1372.4198744186979,1413.4802712096064,3.955467151189451,0.7963348006547527,0,-4.144723851871786,0.0,4.442761214570198,0.008885522429140397,0.5114592,1284,4,0.20256515591289784,0.0028167348289953862,0.7091667700013107,16,4.967090660783925,3.8453678335279076,189.25670068233845,-3.955467151189451,0.7091667700013107,0,0,0,18,PRIMARY_ZERO_MAKER,3,0.004476679024162822,1,2984,1350.481742726115,stop_loss,SNDKUSDT,0,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
39,1.257857142857168,11111,1.2,NEUTRAL,2026-05-18T06:00:00+00:00,6,1372.4198744186979,1413.4802712096064,3.955467151189451,0.7154449263598723,0,-4.144723851871786,0.0,4.855892101335611,0.009711784202671221,0.6297216000000001,1286,4,0.19622932301507537,0.0028167348289953862,1.2707576407428898,18,5.528681531525504,3.8453678335279076,189.25670068233845,-3.955467151189451,1.2707576407428898,0,0,0,24,PRIMARY_ZERO_MAKER,10,0.004476679024162822,1,2984,1350.481742726115,stop_loss,SNDKUSDT,0,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
37,1.257857142857168,11111,1.2,NEUTRAL,2026-05-18T06:00:00+00:00,6,1372.4198744186979,1413.4802712096064,3.955467151189451,0.7582037622045469,0,-4.144723851871786,0.0,4.85499574204319,0.00970999148408638,0.5277744,1280,4,0.19935058251256282,0.0028167348289953862,0.9589681221092337,17,5.216892012891848,3.8453678335279076,189.25670068233845,-3.955467151189451,0.9589681221092337,0,0,0,29,PRIMARY_ZERO_MAKER,17,0.004476679024162822,1,2984,1350.481742726115,stop_loss,SNDKUSDT,0,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
37,1.257857142857168,11111,1.2,NEUTRAL,2026-05-18T06:00:00+00:00,6,1372.4198744186979,1413.4802712096064,3.955467151189451,0.7577376635730804,0,-4.144723851871786,0.0,4.855892101335612,0.009711784202671223,0.5114592,1279,4,0.1983544493802345,0.0028167348289953862,0.9621771301137338,17,5.220101020896348,3.8453678335279076,189.25670068233845,-3.955467151189451,0.9621771301137338,0,0,0,24,PRIMARY_ZERO_MAKER,31,0.004476679024162822,1,2984,1350.481742726115,stop_loss,SNDKUSDT,0,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
35,1.257857142857168,11111,1.2,NEUTRAL,2026-05-18T06:00:00+00:00,6,1372.4198744186979,1413.4802712096064,3.955467151189451,0.8069263769769196,0,-4.144723851871786,0.0,4.854995742043189,0.009709991484086378,0.5277744,1286,4,0.2021674739028476,0.0028167348289953862,0.6439695954710747,16,4.901893486253689,3.8453678335279076,189.25670068233845,-3.955467151189451,0.6439695954710747,0,0,0,25,PRIMARY_ZERO_MAKER,59,0.004476679024162822,1,2984,1350.481742726115,stop_loss,SNDKUSDT,0,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
35,1.257857142857168,11111,1.2,NEUTRAL,2026-05-18T06:00:00+00:00,6,1372.4198744186979,1413.4802712096064,3.955467151189451,0.8015956034090437,0,-4.144723851871786,0.0,4.855892101335612,0.009711784202671223,0.5114592,1284,4,0.1936932595644891,0.0028167348289953862,0.6765681827361922,16,4.934492073518807,3.8453678335279076,189.25670068233845,-3.955467151189451,0.6765681827361922,0,0,0,21,PRIMARY_ZERO_MAKER,97,0.004476679024162822,1,2984,1350.481742726115,stop_loss,SNDKUSDT,0,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
35,1.257857142857168,11111,1.2,NEUTRAL,2026-05-18T06:00:00+00:00,6,1372.4198744186979,1413.4802712096064,3.955467151189451,0.7963348006547527,0,-4.42860890289529,0.0,5.316701686162691,0.010633403372325382,0.5114592,1289,4,0.19789964194304857,0.0028167348289953862,0.3782277717706609,16,4.967090660783925,3.8453678335279076,189.25670068233845,-3.955467151189451,0.3782277717706609,0,0,0,51,EXECUTION_STRESS,3,0.004476679024162822,1,2984,1348.4539923616614,stop_loss,SNDKUSDT,0,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
33,1.257857142857168,11111,1.2,NEUTRAL,2026-05-18T06:00:00+00:00,6,1372.4198744186979,1413.4802712096064,3.955467151189451,0.8550676115214368,0,-4.42860890289529,0.0,4.7142016861626965,0.009428403372325393,0.5114592,1288,4,0.19874513567839197,0.0028167348289953862,0.037048673876386565,15,4.625911562889651,3.8453678335279076,189.25670068233845,-3.955467151189451,0.037048673876386565,0,0,0,61,EXECUTION_STRESS,10,0.004476679024162822,1,2984,1348.4539923616614,stop_loss,SNDKUSDT,0,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
37,1.257857142857168,11111,1.2,NEUTRAL,2026-05-18T06:00:00+00:00,6,1372.4198744186979,1413.4802712096064,3.955467151189451,0.7530350955237533,0,-4.42860890289529,0.0,5.588201686162697,0.011176403372325394,0.5114592,1285,4,0.19830178371859297,0.0028167348289953862,0.6638367191482016,17,5.252699608161466,3.8453678335279076,189.25670068233845,-3.955467151189451,0.6638367191482016,0,0,0,69,EXECUTION_STRESS,17,0.004476679024162822,1,2984,1348.4539923616614,stop_loss,SNDKUSDT,0,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
29,1.257857142857168,11111,1.2,NEUTRAL,2026-05-18T06:00:00+00:00,6,1372.4198744186979,1413.4802712096064,3.955204431730997,0.9984340187698592,0,-4.428346183436836,0.6178590889127451,4.569933852634811,0.009139867705269622,0.5114592,1260,4,0.1920665908877722,0.0028167348289953862,-0.6178590889127451,13,3.9614079221820653,3.845105114069454,189.25670068233845,-3.955204431730997,0.0,0,0,0,51,EXECUTION_STRESS,31,0.004476679024162822,1,2984,1348.4539923616614,stop_loss,SNDKUSDT,0,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
29,1.257857142857168,11111,1.2,NEUTRAL,2026-05-18T06:00:00+00:00,6,1372.4198744186979,1413.4802712096064,3.955204431730997,0.9902849237665471,0,-4.428346183436836,0.5852605016476271,4.884932379272968,0.009769864758545936,0.5178032,1284,4,0.19664205876046903,0.0028167348289953862,-0.5852605016476271,13,3.9940065094471833,3.845105114069454,189.25670068233845,-3.955204431730997,0.0,0,0,0,55,EXECUTION_STRESS,59,0.004476679024162822,1,2984,1348.4539923616614,stop_loss,SNDKUSDT,0,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
31,1.257857142857168,11111,1.2,NEUTRAL,2026-05-18T06:00:00+00:00,6,1372.4198744186979,1413.4802712096064,3.955204431730997,0.9255842929120488,0,-4.428346183436836,0.30606957027908804,5.186568380107808,0.010373136760215616,0.5114592,1283,4,0.1987669135678392,0.0028167348289953862,-0.30606957027908804,14,4.273197440815722,3.845105114069454,189.25670068233845,-3.955204431730997,0.0,0,0,0,50,EXECUTION_STRESS,97,0.004476679024162822,1,2984,1348.4539923616614,stop_loss,SNDKUSDT,0,0,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
33,1.257857142857168,11111,5.0,NEUTRAL,2026-05-18T06:00:00+00:00,5,1372.0558217219398,1413.8443239063643,0.056810806423345635,0.008097855102068731,0,-0.18192880642335693,0.0,4.066383123657303,0.008132766247314606,0.6111072,2877,3,0.26242424162375033,0.013800358387650109,6.27576222131512,16,7.015537535221194,4.123785244968372,83.412,-0.056810806423345635,6.27576222131512,0,0,0,21,MAKER_PROMO_OFF,3,0.005289471677530022,0,3300,1390.2,window_force_close,SNDKUSDT,0,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
37,1.257857142857168,11111,5.0,NEUTRAL,2026-05-18T06:00:00+00:00,5,1372.0558217219398,1413.8443239063643,0.056810806423345635,0.007193656785407416,0,-0.18192880642335693,0.0,4.066383123657301,0.008132766247314602,0.6111072,2876,3,0.26047801357164496,0.013800358387650109,7.0907115328244625,18,7.897347360050363,4.123785244968372,83.412,-0.056810806423345635,7.0907115328244625,0,0,0,25,MAKER_PROMO_OFF,10,0.005289471677530022,0,3300,1390.2,window_force_close,SNDKUSDT,0,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
31,1.257857142857168,11111,5.0,NEUTRAL,2026-05-18T06:00:00+00:00,5,1372.0558217219398,1413.8443239063643,0.056810806423345635,0.008609935872141742,0,-0.18192880642335693,0.0,4.066383123657301,0.008132766247314602,0.48304479999999994,2879,3,0.25783205798242953,0.013800358387650109,5.886524669486179,15,6.598284501416828,4.123785244968372,83.412,-0.056810806423345635,5.886524669486179,0,0,0,29,MAKER_PROMO_OFF,17,0.005289471677530022,0,3300,1390.2,window_force_close,SNDKUSDT,0,1,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00
