additional_MAE,additional_MFE,classification,counterfactual,inventory_drag,inventory_pnl,label,max_drawdown,missed_grid_pnl,net_pnl,paired_pnl,scenario,seed,stop_reason,window_key
,,,CF_BLOCK_SAME_SIDE_40,5.700744886042905,-5.856104584142743,DIAGNOSTIC_COUNTERFACTUAL,5.7232255661482,0.0,-4.19786858005622,1.8058963160405006,PRIMARY_ZERO_MAKER,3,,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
,,,CF_BLOCK_SAME_SIDE_40,5.700534646747895,-5.855894344847732,DIAGNOSTIC_COUNTERFACTUAL,5.723015326853188,0.0,-3.668980911810376,2.334573744991333,PRIMARY_ZERO_MAKER,10,,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
,,,CF_BLOCK_SAME_SIDE_40,5.700744886042905,-5.856104584142743,DIAGNOSTIC_COUNTERFACTUAL,5.7232255661482,0.0,-4.19786858005622,1.8058963160405006,PRIMARY_ZERO_MAKER,17,,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
,,,CF_BLOCK_SAME_SIDE_40,5.700534646747895,-5.855894344847732,DIAGNOSTIC_COUNTERFACTUAL,5.723015326853188,0.0,-3.668980911810376,2.334573744991333,PRIMARY_ZERO_MAKER,31,,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
,,,CF_BLOCK_SAME_SIDE_40,5.700534646747895,-5.855894344847732,DIAGNOSTIC_COUNTERFACTUAL,5.723015326853188,0.0,-3.668980911810376,2.334573744991333,PRIMARY_ZERO_MAKER,59,,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
,,,CF_BLOCK_SAME_SIDE_40,5.700534646747895,-5.855894344847732,DIAGNOSTIC_COUNTERFACTUAL,6.3168050875581745,0.0,-4.801693243564532,1.2018614132371774,PRIMARY_ZERO_MAKER,97,,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
,,,CF_BLOCK_SAME_SIDE_50,5.700744886042905,-5.856104584142743,DIAGNOSTIC_COUNTERFACTUAL,5.7232255661482,0.0,-4.19786858005622,1.8058963160405006,PRIMARY_ZERO_MAKER,3,,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
,,,CF_BLOCK_SAME_SIDE_50,5.700534646747895,-5.855894344847732,DIAGNOSTIC_COUNTERFACTUAL,5.723015326853188,0.0,-3.668980911810376,2.334573744991333,PRIMARY_ZERO_MAKER,10,,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
,,,CF_BLOCK_SAME_SIDE_50,5.700744886042905,-5.856104584142743,DIAGNOSTIC_COUNTERFACTUAL,5.7232255661482,0.0,-4.19786858005622,1.8058963160405006,PRIMARY_ZERO_MAKER,17,,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
,,,CF_BLOCK_SAME_SIDE_50,5.700534646747895,-5.855894344847732,DIAGNOSTIC_COUNTERFACTUAL,5.723015326853188,0.0,-3.668980911810376,2.334573744991333,PRIMARY_ZERO_MAKER,31,,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
,,,CF_BLOCK_SAME_SIDE_50,5.700534646747895,-5.855894344847732,DIAGNOSTIC_COUNTERFACTUAL,5.723015326853188,0.0,-3.668980911810376,2.334573744991333,PRIMARY_ZERO_MAKER,59,,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
,,,CF_BLOCK_SAME_SIDE_50,5.700534646747895,-5.855894344847732,DIAGNOSTIC_COUNTERFACTUAL,6.3168050875581745,0.0,-4.801693243564532,1.2018614132371774,PRIMARY_ZERO_MAKER,97,,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
,,,CF_REDUCE_ONLY_20,5.700744886042905,-5.856104584142743,DIAGNOSTIC_COUNTERFACTUAL,6.317015326853186,0.5937897607049853,-4.791658340761206,1.2121065553355153,PRIMARY_ZERO_MAKER,3,,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
,,,CF_REDUCE_ONLY_20,3.460790174996521,-3.5471011183853194,DIAGNOSTIC_COUNTERFACTUAL,3.9734529593628833,0.5937897607049853,-1.9194185443200704,1.7407839842863475,PRIMARY_ZERO_MAKER,10,,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
