cycle_id,direction,entry_price,entry_time,exit_price,exit_time,fees,funding_allocated,gross_spread_capture,holding_minutes,net_cycle_pnl,scenario,seed,slippage,symbol,window_key
MAKER_PROMO_OFF-10-4,SHORT,1685.07,2026-08-17T00:06:00+00:00,1670.2252559823753,2026-08-17T00:14:00+00:00,0.013361802047859004,-0.01747569576375,0.5937897607049853,8,0.504692376105931,MAKER_PROMO_OFF,10,0.058259886787445384,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
MAKER_PROMO_OFF-17-1,SHORT,1657.0,2026-08-14T23:01:00+00:00,1643.536320314273,2026-08-15T02:13:00+00:00,0.016435363203142733,-0.023300927685,0.6731839842863452,192,0.5557678443482752,MAKER_PROMO_OFF,17,0.07767984904992718,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
MAKER_PROMO_OFF-17-2,LONG,1643.53,2026-08-15T02:14:00+00:00,1657.0030642762292,2026-08-16T02:05:00+00:00,0.013256024514209836,-0.023300927685,0.5389225710491701,1431,0.42468576980003303,MAKER_PROMO_OFF,17,0.07767984904992718,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
MAKER_PROMO_OFF-17-3,SHORT,1685.07,2026-08-17T00:06:00+00:00,1670.2252559823753,2026-08-17T00:14:00+00:00,0.013361802047859004,-0.023300927685,0.5937897607049853,8,0.47944718192219915,MAKER_PROMO_OFF,17,0.07767984904992718,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
MAKER_PROMO_OFF-31-1,SHORT,1657.0,2026-08-14T23:00:00+00:00,1643.536320314273,2026-08-15T02:14:00+00:00,0.016435363203142733,-0.01747569576375,0.6731839842863452,194,0.581013038532007,MAKER_PROMO_OFF,31,0.058259886787445384,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
MAKER_PROMO_OFF-31-2,LONG,1643.53,2026-08-15T02:15:00+00:00,1657.0030642762292,2026-08-16T02:01:00+00:00,0.013256024514209836,-0.01747569576375,0.5389225710491701,1426,0.4499309639837649,MAKER_PROMO_OFF,31,0.058259886787445384,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
MAKER_PROMO_OFF-31-3,SHORT,1670.22,2026-08-16T03:33:00+00:00,1657.0030642762292,2026-08-16T12:23:00+00:00,0.013256024514209836,-0.01747569576375,0.5286774289508321,530,0.439685821885427,MAKER_PROMO_OFF,31,0.058259886787445384,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
MAKER_PROMO_OFF-31-4,SHORT,1685.07,2026-08-17T00:06:00+00:00,1670.2252559823753,2026-08-17T00:15:00+00:00,0.013361802047859004,-0.01747569576375,0.5937897607049853,9,0.504692376105931,MAKER_PROMO_OFF,31,0.058259886787445384,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
MAKER_PROMO_OFF-59-1,SHORT,1657.0,2026-08-14T23:00:00+00:00,1643.536320314273,2026-08-15T02:13:00+00:00,0.016435363203142733,-0.01747569576375,0.6731839842863452,193,0.581013038532007,MAKER_PROMO_OFF,59,0.058259886787445384,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
MAKER_PROMO_OFF-59-2,LONG,1643.53,2026-08-15T02:14:00+00:00,1657.0030642762292,2026-08-16T02:04:00+00:00,0.013256024514209836,-0.01747569576375,0.5389225710491701,1430,0.4499309639837649,MAKER_PROMO_OFF,59,0.058259886787445384,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
MAKER_PROMO_OFF-59-3,SHORT,1670.22,2026-08-16T03:33:00+00:00,1657.0030642762292,2026-08-16T12:27:00+00:00,0.013256024514209836,-0.01747569576375,0.5286774289508321,534,0.439685821885427,MAKER_PROMO_OFF,59,0.058259886787445384,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
MAKER_PROMO_OFF-59-4,SHORT,1685.07,2026-08-17T00:06:00+00:00,1670.2252559823753,2026-08-17T00:14:00+00:00,0.013361802047859004,-0.01747569576375,0.5937897607049853,8,0.504692376105931,MAKER_PROMO_OFF,59,0.058259886787445384,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
MAKER_PROMO_OFF-97-1,SHORT,1657.0,2026-08-14T23:00:00+00:00,1643.536320314273,2026-08-15T02:13:00+00:00,0.016435363203142733,-0.0349513915275,0.6731839842863452,193,0.5052774559808116,MAKER_PROMO_OFF,97,0.11651977357489077,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
MAKER_PROMO_OFF-97-2,SHORT,1670.22,2026-08-16T03:33:00+00:00,1657.0030642762292,2026-08-16T10:10:00+00:00,0.013256024514209836,-0.0349513915275,0.5286774289508321,397,0.36395023933423154,MAKER_PROMO_OFF,97,0.11651977357489077,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
