bar_count,blocked_reason,calendar,complete,end_time,force_close_at,last_trade_bar,market_group,next_reference_open,observation_end,observation_start,previous_market_close,split,start_time,symbol,trade_start,window_key,window_kind
3480,,NYSE,True,2026-04-27T05:59:00+00:00,2026-04-27T06:00:00+00:00,2026-04-27T05:59:00+00:00,US_STOCK,2026-04-27T08:00:00+00:00,2026-04-24T23:00:00+00:00,2026-04-24T20:00:00+00:00,2026-04-24T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-04-24T20:00:00+00:00,MUUSDT,2026-04-24T23:00:00+00:00,US_STOCK:2026-04-24T20:00:00+00:00:2026-04-27T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-05-04T05:59:00+00:00,2026-05-04T06:00:00+00:00,2026-05-04T05:59:00+00:00,US_STOCK,2026-05-04T08:00:00+00:00,2026-05-01T23:00:00+00:00,2026-05-01T20:00:00+00:00,2026-05-01T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-05-01T20:00:00+00:00,MUUSDT,2026-05-01T23:00:00+00:00,US_STOCK:2026-05-01T20:00:00+00:00:2026-05-04T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-05-11T05:59:00+00:00,2026-05-11T06:00:00+00:00,2026-05-11T05:59:00+00:00,US_STOCK,2026-05-11T08:00:00+00:00,2026-05-08T23:00:00+00:00,2026-05-08T20:00:00+00:00,2026-05-08T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-05-08T20:00:00+00:00,MUUSDT,2026-05-08T23:00:00+00:00,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-05-18T05:59:00+00:00,2026-05-18T06:00:00+00:00,2026-05-18T05:59:00+00:00,US_STOCK,2026-05-18T08:00:00+00:00,2026-05-15T23:00:00+00:00,2026-05-15T20:00:00+00:00,2026-05-15T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-05-15T20:00:00+00:00,MUUSDT,2026-05-15T23:00:00+00:00,US_STOCK:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND
4920,,NYSE,True,2026-05-26T05:59:00+00:00,2026-05-26T06:00:00+00:00,2026-05-26T05:59:00+00:00,US_STOCK,2026-05-26T08:00:00+00:00,2026-05-22T23:00:00+00:00,2026-05-22T20:00:00+00:00,2026-05-22T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-05-22T20:00:00+00:00,MUUSDT,2026-05-22T23:00:00+00:00,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-06-01T05:59:00+00:00,2026-06-01T06:00:00+00:00,2026-06-01T05:59:00+00:00,US_STOCK,2026-06-01T08:00:00+00:00,2026-05-29T23:00:00+00:00,2026-05-29T20:00:00+00:00,2026-05-29T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-05-29T20:00:00+00:00,MUUSDT,2026-05-29T23:00:00+00:00,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-06-08T05:59:00+00:00,2026-06-08T06:00:00+00:00,2026-06-08T05:59:00+00:00,US_STOCK,2026-06-08T08:00:00+00:00,2026-06-05T23:00:00+00:00,2026-06-05T20:00:00+00:00,2026-06-05T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-06-05T20:00:00+00:00,MUUSDT,2026-06-05T23:00:00+00:00,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-06-15T05:59:00+00:00,2026-06-15T06:00:00+00:00,2026-06-15T05:59:00+00:00,US_STOCK,2026-06-15T08:00:00+00:00,2026-06-12T23:00:00+00:00,2026-06-12T20:00:00+00:00,2026-06-12T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-06-12T20:00:00+00:00,MUUSDT,2026-06-12T23:00:00+00:00,US_STOCK:2026-06-12T20:00:00+00:00:2026-06-15T08:00:00+00:00,WEEKEND
4920,,NYSE,True,2026-06-22T05:59:00+00:00,2026-06-22T06:00:00+00:00,2026-06-22T05:59:00+00:00,US_STOCK,2026-06-22T08:00:00+00:00,2026-06-18T23:00:00+00:00,2026-06-18T20:00:00+00:00,2026-06-18T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-06-18T20:00:00+00:00,MUUSDT,2026-06-18T23:00:00+00:00,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-06-29T05:59:00+00:00,2026-06-29T06:00:00+00:00,2026-06-29T05:59:00+00:00,US_STOCK,2026-06-29T08:00:00+00:00,2026-06-26T23:00:00+00:00,2026-06-26T20:00:00+00:00,2026-06-26T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-06-26T20:00:00+00:00,MUUSDT,2026-06-26T23:00:00+00:00,US_STOCK:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00,WEEKEND
4920,,NYSE,True,2026-07-06T05:59:00+00:00,2026-07-06T06:00:00+00:00,2026-07-06T05:59:00+00:00,US_STOCK,2026-07-06T08:00:00+00:00,2026-07-02T23:00:00+00:00,2026-07-02T20:00:00+00:00,2026-07-02T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-07-02T20:00:00+00:00,MUUSDT,2026-07-02T23:00:00+00:00,US_STOCK:2026-07-02T20:00:00+00:00:2026-07-06T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-07-13T05:59:00+00:00,2026-07-13T06:00:00+00:00,2026-07-13T05:59:00+00:00,US_STOCK,2026-07-13T08:00:00+00:00,2026-07-10T23:00:00+00:00,2026-07-10T20:00:00+00:00,2026-07-10T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-07-10T20:00:00+00:00,MUUSDT,2026-07-10T23:00:00+00:00,US_STOCK:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-07-20T05:59:00+00:00,2026-07-20T06:00:00+00:00,2026-07-20T05:59:00+00:00,US_STOCK,2026-07-20T08:00:00+00:00,2026-07-17T23:00:00+00:00,2026-07-17T20:00:00+00:00,2026-07-17T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-07-17T20:00:00+00:00,MUUSDT,2026-07-17T23:00:00+00:00,US_STOCK:2026-07-17T20:00:00+00:00:2026-07-20T08:00:00+00:00,WEEKEND
755,INCOMPLETE_WINDOW,NYSE,False,2026-07-25T08:34:00+00:00,2026-07-27T06:00:00+00:00,2026-07-25T08:34:00+00:00,US_STOCK,2026-07-27T08:00:00+00:00,2026-07-24T23:00:00+00:00,2026-07-24T20:00:00+00:00,2026-07-24T20:00:00+00:00,INCOMPLETE_WINDOW,2026-07-24T20:00:00+00:00,MUUSDT,2026-07-24T23:00:00+00:00,US_STOCK:2026-07-24T20:00:00+00:00:2026-07-27T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-05-18T05:59:00+00:00,2026-05-18T06:00:00+00:00,2026-05-18T05:59:00+00:00,US_LEVERAGED_ETF,2026-05-18T08:00:00+00:00,2026-05-15T23:00:00+00:00,2026-05-15T20:00:00+00:00,2026-05-15T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-05-15T20:00:00+00:00,SOXLUSDT,2026-05-15T23:00:00+00:00,US_LEVERAGED_ETF:2026-05-15T20:00:00+00:00:2026-05-18T08:00:00+00:00,WEEKEND
4920,,NYSE,True,2026-05-26T05:59:00+00:00,2026-05-26T06:00:00+00:00,2026-05-26T05:59:00+00:00,US_LEVERAGED_ETF,2026-05-26T08:00:00+00:00,2026-05-22T23:00:00+00:00,2026-05-22T20:00:00+00:00,2026-05-22T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-05-22T20:00:00+00:00,SOXLUSDT,2026-05-22T23:00:00+00:00,US_LEVERAGED_ETF:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-06-01T05:59:00+00:00,2026-06-01T06:00:00+00:00,2026-06-01T05:59:00+00:00,US_LEVERAGED_ETF,2026-06-01T08:00:00+00:00,2026-05-29T23:00:00+00:00,2026-05-29T20:00:00+00:00,2026-05-29T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-05-29T20:00:00+00:00,SOXLUSDT,2026-05-29T23:00:00+00:00,US_LEVERAGED_ETF:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-06-08T05:59:00+00:00,2026-06-08T06:00:00+00:00,2026-06-08T05:59:00+00:00,US_LEVERAGED_ETF,2026-06-08T08:00:00+00:00,2026-06-05T23:00:00+00:00,2026-06-05T20:00:00+00:00,2026-06-05T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-06-05T20:00:00+00:00,SOXLUSDT,2026-06-05T23:00:00+00:00,US_LEVERAGED_ETF:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-06-15T05:59:00+00:00,2026-06-15T06:00:00+00:00,2026-06-15T05:59:00+00:00,US_LEVERAGED_ETF,2026-06-15T08:00:00+00:00,2026-06-12T23:00:00+00:00,2026-06-12T20:00:00+00:00,2026-06-12T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-06-12T20:00:00+00:00,SOXLUSDT,2026-06-12T23:00:00+00:00,US_LEVERAGED_ETF:2026-06-12T20:00:00+00:00:2026-06-15T08:00:00+00:00,WEEKEND
4920,,NYSE,True,2026-06-22T05:59:00+00:00,2026-06-22T06:00:00+00:00,2026-06-22T05:59:00+00:00,US_LEVERAGED_ETF,2026-06-22T08:00:00+00:00,2026-06-18T23:00:00+00:00,2026-06-18T20:00:00+00:00,2026-06-18T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-06-18T20:00:00+00:00,SOXLUSDT,2026-06-18T23:00:00+00:00,US_LEVERAGED_ETF:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-06-29T05:59:00+00:00,2026-06-29T06:00:00+00:00,2026-06-29T05:59:00+00:00,US_LEVERAGED_ETF,2026-06-29T08:00:00+00:00,2026-06-26T23:00:00+00:00,2026-06-26T20:00:00+00:00,2026-06-26T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-06-26T20:00:00+00:00,SOXLUSDT,2026-06-26T23:00:00+00:00,US_LEVERAGED_ETF:2026-06-26T20:00:00+00:00:2026-06-29T08:00:00+00:00,WEEKEND
4920,,NYSE,True,2026-07-06T05:59:00+00:00,2026-07-06T06:00:00+00:00,2026-07-06T05:59:00+00:00,US_LEVERAGED_ETF,2026-07-06T08:00:00+00:00,2026-07-02T23:00:00+00:00,2026-07-02T20:00:00+00:00,2026-07-02T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-07-02T20:00:00+00:00,SOXLUSDT,2026-07-02T23:00:00+00:00,US_LEVERAGED_ETF:2026-07-02T20:00:00+00:00:2026-07-06T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-07-13T05:59:00+00:00,2026-07-13T06:00:00+00:00,2026-07-13T05:59:00+00:00,US_LEVERAGED_ETF,2026-07-13T08:00:00+00:00,2026-07-10T23:00:00+00:00,2026-07-10T20:00:00+00:00,2026-07-10T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-07-10T20:00:00+00:00,SOXLUSDT,2026-07-10T23:00:00+00:00,US_LEVERAGED_ETF:2026-07-10T20:00:00+00:00:2026-07-13T08:00:00+00:00,WEEKEND
3480,,NYSE,True,2026-07-20T05:59:00+00:00,2026-07-20T06:00:00+00:00,2026-07-20T05:59:00+00:00,US_LEVERAGED_ETF,2026-07-20T08:00:00+00:00,2026-07-17T23:00:00+00:00,2026-07-17T20:00:00+00:00,2026-07-17T20:00:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-07-17T20:00:00+00:00,SOXLUSDT,2026-07-17T23:00:00+00:00,US_LEVERAGED_ETF:2026-07-17T20:00:00+00:00:2026-07-20T08:00:00+00:00,WEEKEND
755,INCOMPLETE_WINDOW,NYSE,False,2026-07-25T08:34:00+00:00,2026-07-27T06:00:00+00:00,2026-07-25T08:34:00+00:00,US_LEVERAGED_ETF,2026-07-27T08:00:00+00:00,2026-07-24T23:00:00+00:00,2026-07-24T20:00:00+00:00,2026-07-24T20:00:00+00:00,INCOMPLETE_WINDOW,2026-07-24T20:00:00+00:00,SOXLUSDT,2026-07-24T23:00:00+00:00,US_LEVERAGED_ETF:2026-07-24T20:00:00+00:00:2026-07-27T08:00:00+00:00,WEEKEND
3810,,XKRX,True,2026-06-07T21:59:00+00:00,2026-06-07T22:00:00+00:00,2026-06-07T21:59:00+00:00,KR_STOCK,2026-06-08T00:00:00+00:00,2026-06-05T09:30:00+00:00,2026-06-05T06:30:00+00:00,2026-06-05T06:30:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-06-05T06:30:00+00:00,SKHYNIXUSDT,2026-06-05T09:30:00+00:00,KR_STOCK:2026-06-05T06:30:00+00:00:2026-06-08T00:00:00+00:00,WEEKEND
3810,,XKRX,True,2026-06-14T21:59:00+00:00,2026-06-14T22:00:00+00:00,2026-06-14T21:59:00+00:00,KR_STOCK,2026-06-15T00:00:00+00:00,2026-06-12T09:30:00+00:00,2026-06-12T06:30:00+00:00,2026-06-12T06:30:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-06-12T06:30:00+00:00,SKHYNIXUSDT,2026-06-12T09:30:00+00:00,KR_STOCK:2026-06-12T06:30:00+00:00:2026-06-15T00:00:00+00:00,WEEKEND
3810,,XKRX,True,2026-06-21T21:59:00+00:00,2026-06-21T22:00:00+00:00,2026-06-21T21:59:00+00:00,KR_STOCK,2026-06-22T00:00:00+00:00,2026-06-19T09:30:00+00:00,2026-06-19T06:30:00+00:00,2026-06-19T06:30:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-06-19T06:30:00+00:00,SKHYNIXUSDT,2026-06-19T09:30:00+00:00,KR_STOCK:2026-06-19T06:30:00+00:00:2026-06-22T00:00:00+00:00,WEEKEND
3810,,XKRX,True,2026-06-28T21:59:00+00:00,2026-06-28T22:00:00+00:00,2026-06-28T21:59:00+00:00,KR_STOCK,2026-06-29T00:00:00+00:00,2026-06-26T09:30:00+00:00,2026-06-26T06:30:00+00:00,2026-06-26T06:30:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-06-26T06:30:00+00:00,SKHYNIXUSDT,2026-06-26T09:30:00+00:00,KR_STOCK:2026-06-26T06:30:00+00:00:2026-06-29T00:00:00+00:00,WEEKEND
3810,,XKRX,True,2026-07-05T21:59:00+00:00,2026-07-05T22:00:00+00:00,2026-07-05T21:59:00+00:00,KR_STOCK,2026-07-06T00:00:00+00:00,2026-07-03T09:30:00+00:00,2026-07-03T06:30:00+00:00,2026-07-03T06:30:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-07-03T06:30:00+00:00,SKHYNIXUSDT,2026-07-03T09:30:00+00:00,KR_STOCK:2026-07-03T06:30:00+00:00:2026-07-06T00:00:00+00:00,WEEKEND
3810,,XKRX,True,2026-07-12T21:59:00+00:00,2026-07-12T22:00:00+00:00,2026-07-12T21:59:00+00:00,KR_STOCK,2026-07-13T00:00:00+00:00,2026-07-10T09:30:00+00:00,2026-07-10T06:30:00+00:00,2026-07-10T06:30:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-07-10T06:30:00+00:00,SKHYNIXUSDT,2026-07-10T09:30:00+00:00,KR_STOCK:2026-07-10T06:30:00+00:00:2026-07-13T00:00:00+00:00,WEEKEND
3810,,XKRX,True,2026-07-19T21:59:00+00:00,2026-07-19T22:00:00+00:00,2026-07-19T21:59:00+00:00,KR_STOCK,2026-07-20T00:00:00+00:00,2026-07-17T09:30:00+00:00,2026-07-17T06:30:00+00:00,2026-07-17T06:30:00+00:00,RESEARCH_VALIDATION_EXPOSED,2026-07-17T06:30:00+00:00,SKHYNIXUSDT,2026-07-17T09:30:00+00:00,KR_STOCK:2026-07-17T06:30:00+00:00:2026-07-20T00:00:00+00:00,WEEKEND
1565,INCOMPLETE_WINDOW,XKRX,False,2026-07-25T08:34:00+00:00,2026-07-26T22:00:00+00:00,2026-07-25T08:34:00+00:00,KR_STOCK,2026-07-27T00:00:00+00:00,2026-07-24T09:30:00+00:00,2026-07-24T06:30:00+00:00,2026-07-24T06:30:00+00:00,INCOMPLETE_WINDOW,2026-07-24T06:30:00+00:00,SKHYNIXUSDT,2026-07-24T09:30:00+00:00,KR_STOCK:2026-07-24T06:30:00+00:00:2026-07-27T00:00:00+00:00,WEEKEND
